Name,Size,Type,Sub-Type,Alignment,AC,Hit Points,STR,DEX,CON,INT,WIS,CHA,Challenge,Proficiency Bonus
Dire_Corby,M,Monstrosity,,NE,11,11 (2d8+2),16,12,13,6,10,8,0.5,2
Dire_Troll,H,Giant,,CE,15 (natural),172 (15d12+75),22,15,21,9,11,5,13,5
Dire_Wolf,L,Beast,,,14 (natural),37 (5d10+10),17,15,15,3,12,7,1,2
Displacer_Beast,L,Monstrosity,,LE,13 (natural),85 (10d10+30),18,15,16,6,12,8,3,2
Displacer_Beast_Kitten,S,Monstrosity,,,12 (natural),9 (2d6+2),12,13,12,4,10,6,0.125,2
Dissmortuum,M,Undead,,CE,15 (natural),112 (15d8+45),14,10,16,8,11,18,7,3
Divine_Echo_of_Death,L,Fiend,,NE,19 (natural),275 (22d10+154),26,26,25,25,30,22,21,7
Divine_Echo_of_Knowledge,L,Celestial,,N,20 (natural),250 (20d10+140),22,25,25,30,27,26,21,7
Divine_Echo_of_Trickery,L,Celestial,,CN,19 (natural),225 (18d10+140),24,26,24,26,22,30,20,6
Diviner,M,Humanoid,,,12 (15 with mage armor),67 (15d8),9,14,11,18,12,11,8,3
Djinni,L,Elemental,Genie,CG,17 (natural),161 (14d10+84),21,15,22,15,16,20,11,4
Dogmole,M,Beast,,N,14 (natural),71 (11d8+22),14,17,15,2,12,10,1,2
Dogmole_Juggernaut,L,Monstrosity,,N,15 (chain shirt),126 (12d10+60),21,14,20,2,10,2,5,3
Dolgaunt,M,Aberration,,LE,16 (unarmored defense),33 (6d8+6),14,18,12,13,14,11,3,2
Dolgrim,S,Aberration,,CE,15 (shield),13 (3d6+3),15,14,12,8,10,8,0.5,2
Dolphin,M,Beast,,,12 (natural),11 (2d8+2),14,13,13,6,12,7,0.125,2
Domovoi,M,Fey,,CN,15 (natural),93 (11d8+44),19,13,18,6,10,16,4,2
Doom_Golem,L,Construct,,,17 (natural),153 (18d10+54,24,13,16,3,10,1,10,4
Doombat,L,Monstrosity,,,15,59 (7d10+21),17,21,17,2,12,6,3,2
Doomspeaker,M,Humanoid,,CE,15 (shield),78 (12d8+24),12,17,15,10,12,18,6,3
Doomwake_Giant,H,Giant,,LE,15 (natural),162 (13d12+78),24,12,22,12,14,16,11,4
Doppelrat,T,Monstrosity,,,13,22 (5d4+10),2,17,14,2,13,2,2,2
Doppleganger,M,Monstrosity,Shapechanger,N,14,52 (8d8+16),11,18,14,11,12,14,3,2
Dorreq,M,Aberration,,NE,15 (natural),93 (17d8+17),19,19,13,11,8,6,4,2
Dracohydra,H,Monstrosity,,CE,17 (natural),218 (19d12+95),20,12,20,6,12,12,11,4
Dracolisk,L,Dragon,,,17 (natural),114 (12d10+48),21,12,19,6,12,13,7,3
Draconian_Dreadnought,L,Monstrosity,Draconian,,16 (natural),57 (6d10+24),18,10,18,10,10,10,4,2
Draconian_Foot_Soldier,M,Monstrosity,Draconian,,14 (natural),22 (4d8+4),13,11,13,8,8,10,0.5,2
Draconian_Infiltrator,M,Monstrosity,Draconian,,15 (natural),39 (6d8+12),11,17,14,9,13,11,3,2
Draconian_Mage,M,Monstrosity,Draconian,,15 (natural),40 (9d8),14,10,11,11,10,14,2,2
Draconian_Mastermind,M,Monstrosity,Draconian,,17 (natural),67 (9d8+27),13,14,16,15,11,17,6,3
Draconic_Shard,H,Undead,,N,17 (deflection),168 (16d12+64),1,12,18,22,18,22,17,6
Dracorian,M,Humanoid,Dracorian,LE,16 (dracorian armor),59 (7d8+28),18,16,18,12,14,11,4,2
Dracorian_Mage,M,Humanoid,Dracorian,LE,18 (high dracorian armor),84 (13d8+26),19,16,15,12,18,14,8,3
Dracotaur,L,Dragon,,CN,17 (natural),110 (13d10+39),21,17,16,10,13,15,6,3
Draegloth,L,Fiend,Demon,CE,15 (natural),123 (13d10+52),20,15,18,13,11,11,7,3
Draft_Horse,L,Beast,,,10,19 (3d10+3),18,10,12,2,11,7,0.25,2
Dragon_Blessed,M,Humanoid,,,14 (scale mail),75 (10d8+30),12,10,16,14,17,10,5,3
Dragon_Chosen,M,Humanoid,,,17 (natural),45 (7d8+14),18,18,14,10,13,14,3,2
Dragon_Crab,G,Monstrosity,,NE,18 (natural),210 (12d20+84),21,13,25,17,16,11,16,5
Dragon_Eel,H,Dragon,,N,18 (natural),230 (20d12+100),26,12,20,14,13,14,12,4
Dragon_Hunter,M,Humanoid,,,17 (splint),58 (9d8+18),17,12,14,11,10,10,3,2
Dragon_Speaker,S,Humanoid,,,13 (leather),36 (8d6+8),10,14,12,13,11,17,2,2
Dragon_Turtle_(Adult),G,Dragon,Dragon Turtle,N,20 (natural),341 (22d20+110),25,10,20,10,12,12,17,6
Dragon_Turtle_Wyrmling,L,Dragon,Dragon Turtle,N,18 (natural),90 (12d10+24),17,10,15,8,10,10,4,2
Dragonbait,M,Humanoid,Saurial,LG,"17 (breastplate, shield)",120 (16d8+48),15,13,17,14,16,18,5,3
Dragonblood_Ooze,L,Ooze,,,14 (natural),68 (8d10+24),18,6,17,2,12,10,5,3
Dragonbone_Golem,L,Construct,,,17 (natural),161 (19d10+57),20,10,17,3,11,10,11,4
Dragonborn_Edjet,M,Humanoid,Dragonborn,LN,14 (chains),52 (8d8+16),17,12,14,10,13,13,3,2
Dragonborn_Elementalist,M,Humanoid,Dragonborn,LN,15 (studded leather),45 (7d8+14),8,16,15,12,10,17,2,2
Dragonborn_Heavy_Calvary,M,Humanoid,Dragonborn,LN,"19 (splint, shield)",75 (10d8+30),15,12,17,10,14,8,2,2
Dragonborn_Light_Calvary,M,Humanoid,Dragonborn,LN,14 (leather),39 (6d8+12),15,12,15,8,14,9,1,2
Dragonborn_of_Bahamut,M,Humanoid,Dragonborn,LG,"18 (half plate, shield)",93 (11d8+44),19,13,18,12,14,17,8,3
Dragonborn_of_Sardior,M,Humanoid,Dragonborn,N,17 (mental defense),75 (10d8+30),14,16,17,18,14,12,6,3
Dragonborn_of_Tiamat,M,Humanoid,Dragonborn,CE,18 (plate),85 (10d8+40),20,11,18,10,12,16,7,3
Dragonborn_Ouroban,M,Humanoid,Dragonborn,NE,18 (plate),209 (38d8+38),18,10,13,12,12,18,11,4
Dragonclaw,M,Humanoid,Human,NE,14 (leather),16 (3d8+3),9,16,13,11,10,12,1,2
Dragonfang,M,Humanoid,Human,NE,15 (studded leather),78 (12d8+24),11,16,14,12,12,14,5,3
Dragonflesh_Abomination,H,Monstrosity,,NE,15 (natural),66 (7d12+21),18,14,17,5,12,6,6,3
Dragonflesh_Golem,L,Construct,,,18 (natural),115 (11d10+55),22,7,20,3,10,1,10,4
Dragonflesh_Grafter,L,Monstrosity,,NE,14 (natural),52 (7d10+14),16,11,14,10,10,6,3,2
Dragonleaf_Tree,L,Plant,,,16 (natural),152 (16d10+64),16,10,19,3,12,17,8,3
Dragonnel,L,Dragon,,N,13 (natural),58 (9d10+9),16,15,12,8,13,10,2,2
Dragonsoul,M,Humanoid,Human,NE,16 (studded leather),110 (17d8+34),11,18,14,13,12,16,7,3
Dragonwing,M,Humanoid,Human,NE,14 (leather),33 (6d8+6),11,16,13,11,11,13,2,2
Drakon,L,Beast,,,16 (natural),105 (14d10+28),14,19,15,2,12,10,5,3
Drakopede,G,Monstrosity,,,24 (natural),799 (41d20+369),30,18,29,14,23,1,27,8
Drakoptera,L,Monstrosity,,,20 (natural),144 (17d10+51),14,22,19,6,17,1,11,4
Drakuto,H,Monstrosity,,,21 (natural),241 (21d12+105),24,8,21,7,18,1,14,5
Dralmorrer_Borngray,M,Humanoid,High-Elf,NE,"16 (studded leather, shield)",52 (7d10+14),18,14,14,16,10,8,3,2
Drannin_Splithelm,M,Humanoid,shield dwarf,NE,18 (plate),93 (11d8+44),19,10,18,11,8,12,7,3
Draugr,M,Undead,,CE,15 (armor scraps),26 (4d8+8),16,14,15,6,12,5,1,2
Draugr_Lord,L,Undead,,CE,18 (plate),68 (8d10+24),18,16,16,10,14,8,5,3
Dread_Walker_Excavator,L,Construct,,N,16 (natural),75 (10d10+20),18,19,14,14,16,12,5,3
Dread_Warrior,M,Undead,,NE,"18 (chain mail, shield)",37 (5d8+15),15,11,16,10,12,10,1,2
Dreadmaw,G,Beast,,,14 (natural),0 (0d4),24,6,16,4,16,3,12,4
Dream_Eater,M,Fiend,,LE,15 (natural),75 (10d8+30),15,18,17,16,13,20,5,3
Dream_Squire,M,Fey,,N,15 (chain shirt),71 (13d8+13),15,14,12,10,10,8,2,2
Dream_Wraith,M,Undead,,NE,14,60 (8d8+24),6,18,17,12,15,16,5,3
Dretch,S,Fiend,Demon,CE,11 (natural),18 (4d6+4),11,11,12,5,8,3,0.25,2
Drider,L,Monstrosity,,CE,19 (natural),123 (13d10+52),16,16,18,13,14,12,6,3
Droki,S,Humanoid,Derro,CE,15 (studded leather),31 (7d6+7),11,16,13,10,5,16,2,2
Droth,H,Aberration,Shoth,LN,16 (natural),230 (20d12+100),18,9,20,14,16,20,12,4
Drow,M,Humanoid,Elf,NE,15 (chain shirt),13 (3d8),10,14,10,11,11,12,0.25,2
Drow_Arachnomancer,M,Humanoid,Elf,CE,15 (studded leather),162 (25d8+50),11,17,14,19,14,16,13,5
Drow_Assassin,M,Humanoid,Elf,NE,17 (+1 studded leather armor),58 (9d8+18),14,18,15,12,12,12,9,4
Drow_Elite_Warrior,M,Humanoid,Elf,NE,"18 (studded leather, shield)",71 (11d8+22),13,18,14,11,13,12,5,3
Drow_Favored_Consort,M,Humanoid,Elf,NE,15 (18 with mage armor),225 (30d8+90),15,20,16,18,15,18,18,6
Drow_Gunslinger,M,Humanoid,Elf,,"18 (studded leather, shield)",84 (13d8+26),13,18,14,11,13,14,4,2
Drow_House_Captain,M,Humanoid,Elf,NE,16 (chain),162 (25d8+50),14,19,15,12,14,13,9,4
Drow_Inquisitor,M,Humanoid,Elf,NE,16 (breastplate),143 (22d8+44),11,15,14,16,21,20,14,5
Drow_Mage,M,Humanoid,Elf,NE,12,45 (10d8),9,14,10,17,13,12,7,3
Drow_Matron,M,Humanoid,Elf,NE,17 (half-plate),262 (35d8+105),12,18,16,17,21,22,20,6
Drow_Noble,M,Humanoid,Elf,NE,17 (+1 Mithral chain mail),82 (15d8+15),14,15,12,14,16,18,9,4
Drow_Priestess_of_Lolth,M,Humanoid,Elf,NE,16 (scale mail),71 (13d8+13),10,14,12,13,17,18,8,3
Drow_Ranger,M,Humanoid,Elf,NE,16 (studded leather),58 (9d8+18),14,18,14,11,14,12,5,3
Drow_Rebel,M,Humanoid,Elf,CE,14 (studded Leather),22 (4d8+4),10,14,12,12,11,12,0.5,2
Drow_Rebel_Mage,M,Humanoid,Elf,CE,13 (15 with mage armor),38 (7d8+7),10,13,12,18,12,16,7,3
Drow_Sage,M,Humanoid,Elf,NE,12,27 (6d8),10,14,10,16,12,12,1,2
Drow_Shadowblade,M,Humanoid,Elf,NE,17 (studded leather),150 (20d8+60),14,21,16,12,14,13,11,4
Drow_Spider_Rider,M,Humanoid,Elf,NE,15 (studded leather),27 (5d8+5),14,16,12,11,11,12,1,2
Drow_Spore_Servant,M,Plant,,,15 (chain shirt),13 (3d8),10,14,10,2,6,1,0.125,2
Drow_Spy,M,Humanoid,Elf,NE,16 (studded leather),58 (9d8+18),12,18,14,12,16,16,4,2
Drow_Vampire,M,Undead,Shapechanger,NE,16 (natural),97 (13d8+39),18,16,16,15,15,16,10,4
Drow_Veteran,M,Humanoid,Elf,CE,"17 (breastplate, shield)",58 (9d8+18),13,16,14,10,11,10,3,2
Drow_Zombie,M,Undead,Drow,NE,11 (natural),30 (4d8+12),13,8,16,3,6,5,1,2
Drowned_Ascetic,M,Undead,,CE,13,75 (10d8+30),12,16,16,3,9,5,3,2
Drowned_Assassin,M,Undead,,CE,14 (leather),67 (9d8+27),15,16,16,9,9,16,4,2
Drowned_Blade,M,Undead,,CE,10 (leather),45 (6d8+18),16,8,16,3,9,5,2,2
Drowned_Maiden,M,Undead,,NE,15 (natural),90 (20d8),15,16,10,10,12,18,5,3
Drowned_Master,M,Undead,,CE,14 (natural),157 (21d8+63),17,12,16,9,14,12,9,4
Drowned_Mephit,S,Elemental,,NE,10,15 (4d6+1),8,10,11,11,10,12,0.25,2
Druid,M,Humanoid,,,11 (16 with barkskin),27 (5d8+5),10,12,13,12,15,11,2,2
Druid_of_the_Old_Ways,M,Humanoid,,CN,14 (hide),90 (12d8+36),11,15,16,10,20,14,7,3
Druid_of_the_Undercity,M,Humanoid,,,12 (16 with barkskin),65 (10d8+20),12,14,15,12,16,8,6,3
Dryad,M,Fey,,N,11 (16 with barkskin),22 (5d8),10,12,11,14,15,18,1,2
"Dryad,_Duskthorn",M,Fey,,CE,17 (natural),77 (14d8+14),10,20,13,14,15,24,3,2
Duck_of_M_Things,T,Construct,,,13,21 (6d4+6),3,16,12,5,9,1,2,2
Duende,S,Fey,,CG,15,1 (1d4-1),2,16,8,12,14,12,0.25,2
Duergar,M,Humanoid,Dwarf,LE,"16 (scale, shield)",26 (4d8+8),14,11,14,11,10,9,1,2
Duergar_Assassin,M,Humanoid,Dwarf,LE,16 (studded leather),58 (9d8+18),14,18,15,11,12,9,5,3
Duergar_Darkhaft,M,Humanoid,Dwarf,LE,"16 (scale, shield)",26 (4d8+8),14,11,14,11,10,9,2,2
Duergar_Despot,M,Humanoid,Dwarf,LE,21 (natural),119 (14d8+56),20,5,19,15,14,13,12,4
Duergar_Hammer,M,Construct,,LE,17 (natural),33 (6d8+6),17,7,12,5,5,5,2,2
Duergar_Kavalrachni,M,Humanoid,Dwarf,LE,"16 (scale, shield)",26 (4d8+8),14,11,14,11,10,9,2,2
Duergar_Keeper_of_the_Flame,M,Humanoid,Dwarf,LE,"16 (scale, shield)",26 (4d8+8),14,11,14,11,10,9,2,2
Duergar_King,M,Humanoid,Dwarf,LE,"20 (+1 plate, +1 shield)",90 (12d8+36),18,16,17,12,18,16,7,3
Duergar_Mastermind_or_Mind_Master,M,Humanoid,Dwarf,LE,14 (leather),39 (6d8+12),11,17,14,15,10,12,2,2
Duergar_Rock_Knight,M,Humanoid,Dwarf,LE,"19 (+1 chain mail, shield)",60 (8d8+24),18,12,16,11,12,9,4,2
Duergar_Screamer,M,Construct,,LE,15 (natural),38 (7d8+7),18,7,12,5,5,5,3,2
Duergar_Soulblade,M,Humanoid,Dwarf,LE,14 (leather),18 (4d8),11,16,10,11,10,12,1,2
Duergar_Spore_Servant,M,Plant,,,"16 (scale, shield)",26 (4d8+8),14,11,14,2,6,1,0.5,2
Duergar_Spy,M,Humanoid,Dwarf,LE,15 (studded leather),33 (6d8+6),10,16,12,12,10,13,2,2
Duergar_Stone_Guard,M,Humanoid,Dwarf,LE,"18 (chain mail, shield)",39 (6d8+12),18,11,14,11,10,9,2,2
Duergar_Warlord,M,Humanoid,Dwarf,LE,"20 (plate, shield)",75 (10d8+30),18,11,17,12,12,14,6,3
Duergar_Xarrorn,M,Humanoid,Dwarf,LE,18 (plate),26 (4d8+8),16,11,14,11,10,9,2,2
Duke_Thalamra_Vanthampur,M,Humanoid,Human,LE,10,78 (12d8+24),17,10,15,13,16,18,4,2
Dullahan,L,Fey,,LE,17 (natural),178 (17d10+85),19,18,20,13,15,17,11,4
Dune_Mimic,H,Monstrosity,Shapechanger,N,13 (natural),168 (16d12+64),20,8,18,9,13,10,8,3
Dungeon_Dragon_Wyrmling,M,Dragon,Dungeon Dragon,N,17 (natural),112 (15d8+45),19,10,17,14,15,15,4,2
Duodrone,M,Construct,Mondron,LN,15 (natural),11 (2d8+2),11,13,12,6,10,7,0.25,2
Durnan,M,Humanoid,Human,N,16 (elven chain),144 (17d8+68),18,15,18,13,12,10,9,4
Dusk_Hag,M,Fey,Hag,NE,17 (natural),82 (15d8+15),11,14,12,17,16,18,6,3
Dust_Digger,L,Aberration,,,13 (natural),38 (7d8+7),16,10,13,2,11,10,3,2
Dust_Ghoul,M,Undead,,CE,16 (natural),104 (16d8+32),21,16,15,14,14,16,7,3
Dust_Goblin_Chieftan,S,Humanoid,Goblinoid,NE,16 (studded leather),44 (8d6+16),8,18,15,14,13,13,3,2
Dust_Mephit,S,Elemental,,NE,12,17 (5d6),5,14,10,9,11,10,0.5,2
Dvarapala,H,Giant,,,14 (natural),136 (13d12+52),19,8,18,10,16,9,5,3
Dwarf_Ambassador,M,Humanoid,Dwarf,LG,"15 (studded leather, ring of protection)",65 (10d8+20),17,14,15,12,15,14,3,2
Dwarf_Bear_Rider,M,Humanoid,Dwarf,LG,"18 (chain, shield)",32 (5d8+10),14,16,15,10,14,10,2,2
Dwarf_Commander,M,Humanoid,Dwarf,LG,18 (plate),52 (8d8+16),18,16,14,12,18,16,3,2
Dwarf_Crasher,M,Humanoid,Dwarf,LG,18 (plate),37 (5d8+15),20,12,16,10,10,7,3,2
Dwarf_King,M,Humanoid,Dwarf,LG,20 (+2 plate),127 (15d8+60),20,16,18,14,18,18,10,4
Dwarf_Mage,M,Humanoid,Dwarf,LG,10 (15 with mage armor),39 (6d8+12),12,10,14,20,12,10,8,3
Dwarf_Miner,M,Humanoid,Dwarf,LG,13 (studded leather),13 (2d8+4),16,12,15,10,10,8,0.25,2
Dwarf_Spider_Hunter,M,Humanoid,Dwarf,LG,15 (studded leather),26 (4d8+8),12,16,14,10,14,10,2,2
Dwarf_Spy,M,Humanoid,Dwarf,LG,15 (studded leather),45 (7d8+14),12,16,14,12,14,12,4,2
Dwarven_Ringmage,M,Humanoid,Dwarf,,16 (breastplate),82 (15d8+15),10,14,13,18,12,9,7,3
Dwarvon,H,Construct,,,20 (natural),230 (20d12+100),24,9,20,7,11,1,18,6
Dybbuk,M,Fiend,Demon,CE,14,37 (5d8+15),6,19,16,16,15,14,4,2
Dyrrn,M,Aberration,,CE,21 (natural),325 (31d8+186),26,21,22,26,23,24,24,7
Dzaan's_Simulacrum,M,Construct,,LE,10,24 (half of 9d8+9),10,11,12,16,13,15,1,2
Eagle,S,Beast,,,12,3 (1d6),6,15,10,2,14,7,0,2
Eala,S,Monstrosity,,,15 (natural),40 (9d6+9),10,16,12,2,12,16,2,2
Earth_Archon,H,Elemental,,NG,22 (natural),324 (24d12+168),29,6,25,8,15,8,18,6
Earth_Elemental,L,Elemental,,N,17 (natural),126 (12d10+60),20,8,20,5,10,5,5,3
Earth_Elemental_Dragon,H,Elemental,,NE,20 (natural),362 (25d12+200),28,10,26,14,16,19,19,6
Earth_Elemental_Myrmidon,M,Elemental,,N,18 (plate),127 (17d8+51),18,10,17,8,10,10,7,3
Eater_of_Dust,M,Aberration,,NE,17 (natural),114 (12d8+60),20,14,20,10,15,17,9,4
Eater_of_Hope,L,Fiend,,LE,17 (natural),90 (12d10+24),19,17,14,12,11,16,6,3
Eblis,L,Monstrosity,,NE,13,26 (4d10+4),11,16,12,12,14,11,1,2
Ebon_Pyromancer,M,Aberration,Nartheneen,NE,22 (natural),276 (24d8+168),18,18,24,20,22,20,17,6
Echo_Demon,M,Fiend,Demon,CE,15,102 (12d8+48),20,20,18,14,18,16,6,3
Echo_Gecko,M,Beast,,,14 (natural),27 (5d8+5),15,15,13,2,12,5,1,2
Ecstatic_Bloom,H,Celestial,,NG,15 (natural),171 (18d12+54),10,9,16,20,19,14,11,4
Ectoplasm,L,Ooze,,,12,39 (6d10+6),5,12,21,1,1,1,2,2
Edimmu,M,Undead,,CE,15,75 (10d8+30),1,19,16,12,13,13,4,2
Edjet_Initiate,M,Humanoid,Dragonborn,LN,12 (padded armor),19 (3d8+6),14,12,14,10,10,10,0.25,2
Eel_Hound,M,Fey,,N,14 (natural),77 (14d8+14),19,16,13,6,13,16,2,2
Efreeti,L,Elemental,Genie,LE,17 (natural),200 (16d10+112),22,12,24,16,15,16,11,4
Egg_Hunter_Adult,S,Monstrosity,,,16 (natural),52 (8d6+24),14,20,16,3,13,5,5,3
Egg_Hunter_Hatchling,T,Monstrosity,,,14 (natural),28 (8d4+8),8,17,13,1,10,5,2,2
Egret_Harpy,M,Monstrosity,,N,12,75 (10d8+30),16,14,17,11,14,15,2,2
Eidolon,M,Undead,,,9,63 (18d8-18),7,8,9,14,19,16,12,4
Einherjar,M,Humanoid,Extraplanar,CN,"18 (chain mail, shield)",119 (14d8+56),19,16,19,10,14,11,7,3
Elder_Acid_Elemental,H,Elemental,,N,17,162 (13d12+78),22,16,22,6,11,11,13,5
Elder_Brain,L,Aberration,,LE,10,210 (20d10+100),15,10,20,21,19,24,14,5
Elder_Brain_Dragon,G,Aberration,,LE,17 (natural),350 (20d20+140),27,13,25,21,19,24,22,7
Elder_Ghost_Boar,H,Monstrosity,,,15 (natural),104 (11d12+33),22,9,17,7,12,7,6,3
Elder_Gravity_Elemental,H,Elemental,,N,15,172 (15d12+75),10,10,20,4,11,11,13,5
Elder_Mimic,H,Monstrosity,,N,15 (natural),172 (15d12+75),22,14,20,6,13,8,7,3
Elder_Oblex,H,Ooze,,LE,16,115 (10d12+50),15,16,21,22,13,18,10,4
Elder_Obsidian_Elemental,H,Elemental,,N,19,225 (18d12+108),23,8,22,4,11,11,17,6
Elder_Shadow_Drake,L,Dragon,,CE,16 (natural),114 (12d10+48),22,13,18,8,9,13,7,3
Elder_Spell_Parrot,T,Monstrosity,,,12,7 (5d4-5),2,14,8,2,12,6,6,3
Elder_Strangler,G,Plant,,CE,23 (natural),0 (0d4),28,10,26,5,20,1,18,6
Elder_Tempest,G,Elemental,,N,19,264 (16d20+96),23,28,23,2,21,18,23,7
Eldritch_Ooze,L,Ooze,,,8,153 (18d10+54,16,6,16,1,6,8,5,3
Electrum_Dragon_Wyrmling,M,Dragon,Electrum Dragon,NG,17 (natural),45 (6d8+18),19,10,17,12,11,15,2,2
Electrum_Mouse_Dragon,T,Dragon,,CG,15 (natural),31 (7d4+14),5,14,15,10,11,12,4,2
Eleinomae,M,Fey,,CE,18,112 (15d8+45),13,19,16,14,14,19,5,3
Elemental_Locus,G,Elemental,,N,16 (natural),290 (20d20+80),28,1,18,10,11,11,17,6
Elephant,H,Beast,,,12 (natural),76 (8d12+24),22,9,17,3,11,6,4,2
Elf_Ambassador,M,Humanoid,Elf,CG,11 (16 with barkskin),44 (8d8+8),14,12,13,13,16,16,3,2
Elf-marked_Human,M,Humanoid,Half-Elf,,12,22 (5d8),10,14,11,14,12,13,0.5,2
"Elf,_Alchemist_Archer",M,Humanoid,Elf,,17 (studded leather),135 (18d8+54),11,20,16,18,14,10,10,4
"Elf,_Deathsworn",M,Humanoid,Elf,CN,16 (studded leather),82 (15d8+15),14,19,12,11,13,14,6,3
"Elf,_Enchanter",M,Humanoid,Elf,,12 (15 with mage armor),58 (13d8),10,14,10,19,13,19,7,3
"Elf,_Servant_of_the_Vine",M,Humanoid,Elf,CN,16 (breastplate),72 (16d8),10,15,11,13,16,14,6,3
"Elf,_Shadow_Fey",M,Humanoid,Elf,LE,15 (chain shirt),31 (7d8),10,14,10,11,11,13,0.25,2
"Elf,_Shadow_Fey_Ambassador",M,Humanoid,Elf,LE,16 (studded leather),161 (19d8+76),13,18,18,16,16,20,9,4
"Elf,_Shadow_Fey_Duelist",M,Humanoid,Elf,LE,17 (studded leather),117 (18d8+36),13,20,14,13,12,16,6,3
"Elf,_Shadow_Fey_Enchantress",M,Humanoid,Elf,LE,16 (breastplate),123 (19d8+38),10,15,14,12,17,18,7,3
"Elf,_Shadow_Fey_Forest_Hunter",M,Humanoid,Elf,LE,15 (chain shirt),104 (19d8+19),12,18,12,11,12,16,5,3
"Elf,_Shadow_Fey_Guardian",L,Humanoid,Elf,NE,15 (chain shirt),110 (13d10+39),18,14,16,6,14,8,4,2
"Elf,_Shadow_Fey_Knight_of_the_Road",M,Humanoid,Elf,LE,16 (breastplate),117 (18d8+36),14,18,14,14,12,16,5,3
"Elf,_Shadow_Fey_Poisoner",M,Humanoid,Elf,N,16 (studded leather),112 (15d8+45),11,18,16,13,11,14,11,4
Elite_Drider,L,Monstrosity,,CE,20 (natural),133 (14d10+56),18,16,18,14,16,14,11,4
Elite_Guard,M,Humanoid,,,16 (chainmail),39 (6d8+12),16,14,14,12,11,10,2,2
Elite_Kobold,S,Humanoid,Kobold,LN,14 (leather),26 (4d8+8),10,17,14,12,14,10,1,2
Elizar_Dryflagon,M,Humanoid,Human,NE,14 (hide),71 (11d8+22),13,15,14,11,18,10,5,3
Elk,L,Beast,,,10,13 (2d10+2),16,10,12,2,10,6,0.25,2
Elkhorn,M,Humanoid,Dwarf,LG,"18 (chain mail, shield)",52 (7d8+21),9,13,16,9,10,11,2,2
Elophar,L,Undead,,CE,8,126 (12d10+60),19,6,20,16,3,10,4,2
Elusa_Hound,M,Monstrosity,,,14 (natural),26 (4d8+8),15,15,15,6,12,8,1,2
Elvish_Riding_Hound,L,Fey,,CG,13 (natural),22 (3d10+6),14,15,14,6,12,10,0.5,2
Elvish_Veteran_Archer,M,Humanoid,Elf,CN,15 (studded leather),77 (14d8+14),11,16,12,11,13,11,3,2
Emerald_Dragon_Wyrmling,M,Dragon,"Emerald Dragon, Gem",LN,16 (natural),39 (6d8+12),15,12,15,14,12,14,2,2
Emerald_Eye,T,Construct,,CE,14,54 (12d4+24),3,15,14,15,12,16,1,2
Emerald_Order_Cult_Leader,M,Humanoid,,LN or LE,14 (breastplate),117 (18d8+36),10,10,14,15,20,15,8,3
Emerald_Shadow_Mamba,T,Beast,,,21 (natural),123 (23d6+46),10,26,15,4,19,1,15,5
Emperor's_Hyena,M,Undead,,NE,14 (natural),91 (14d8+28),16,14,15,6,10,8,4,2
Empty_Cloak,M,Construct,,,13 (natural),45 (10d8),18,14,10,10,10,1,0.5,2
Empusa,M,Monstrosity,Shapechanger,CE,16 (natural),102 (12d8+48),20,13,18,10,14,19,5,3
Empyrean,H,Celestial,Titan,CG or NE,22 (natural),313 (19d12+190),30,21,30,21,22,27,23,7
Encephalon_Gorger,M,Aberration,,CE,16 (natural),71 (11d8+22),12,16,14,20,15,15,7,3
Enchanter,M,Humanoid,,,12 (15 with mage armor),40 (9d8),9,14,11,17,12,11,5,3
Endelyn_Moongrave,M,Fey,Hag,NE,17 (natural),114 (12d8+60),20,13,20,13,10,17,6,3
Enokitake,M,Plant,,LN,18 (natural),82 (11d8+33),16,14,17,12,15,12,5,3
Envy,M,Fiend,Demon,CE,18 (natural),231 (22d8+132),16,18,23,21,18,24,23,7
Eonic_Drifter,M,Humanoid,Human,CN,13 (leather),65 (10d8+20),9,14,14,18,11,13,1,2
Eonic_Savant,M,Humanoid,Human,N,13 (16 with mage armor),115 (16d8+51),9,16,16,20,11,15,7,3
Erina_Defender,S,Humanoid,Erina,N,15 (chain shirt),44 (8d6+16),11,14,14,13,12,11,1,2
Erina_Scrounger,S,Humanoid,Erina,N,12 (leather),22 (4d6+8),9,12,14,13,10,11,0.25,2
Erinyes,M,Fiend,Devil,LE,18 (plate),153 (18d8+72),18,16,18,14,14,18,12,4
"Etali,_Primal_Storm_(really_big_spinosaurus)",G,Monstrosity,Titan,,25 (natural),676 (33d20+330),30,11,30,3,11,11,30,9
Eternal_Flame_Guardian,M,Humanoid,Human,CE,"17 (breastplate, shield)",45 (7d8+14),15,13,14,8,11,13,2,2
Eternal_Flame_Priest,M,Humanoid,Human,NE,12 (15 with mage armor),52 (8d8+16),12,15,14,10,11,16,3,2
Eternal_Lich,M,Undead,,CE,18,475 (38d8+304),7,26,27,30,29,26,30,9
Ethereal_Leaches,M,Aberration,(Swarm of Tiny),,14,40 (8d8+4),8,18,11,1,10,3,3,2
Ettercap,M,Monstrosity,,NE,13 (natural),44 (8d8+8),14,15,13,7,12,8,2,2
Ettin,L,Giant,,CE,12 (natural),85 (10d10+30),21,8,17,6,10,8,4,2
Everpup,S,Fey,,CN,13 (19 with Adorable Visage),90 (20d6+20),4,17,12,6,18,22,9,4
